minute,reserve0,reserve1
2025-01-01 04:25:00.000 UTC,23442978269049,7003437676503953406688
2025-01-01 04:26:00.000 UTC,23443063299049,7003412350641134075778
2025-01-01 04:27:00.000 UTC,23441357958652,7003923376481698629718
2025-01-01 04:30:00.000 UTC,23441464082657,7003891763500799538311
2025-01-01 04:31:00.000 UTC,23439783100925,7004395558304101200857
2025-01-01 04:32:00.000 UTC,23439833100925,7004380661904484680541
2025-01-01 04:33:00.000 UTC,23439105215948,7004598832551567712042
2025-01-01 04:34:00.000 UTC,23438543725458,7004767138664748467065
2025-01-01 04:36:00.000 UTC,23440543725458,7004171268986412212084
2025-01-01 04:37:00.000 UTC,23440329113991,7004235589695072279854
2025-01-01 04:39:00.000 UTC,23440160096808,7004286246276144136480
2025-01-01 04:40:00.000 UTC,23440260983898,7004256190205508922418
2025-01-01 04:41:00.000 UTC,23439878144365,7004370958898416834242
2025-01-01 04:42:00.000 UTC,23439521544896,7004477841233675642134
2025-01-01 04:44:00.000 UTC,23439400541397,7004514109937966891134
2025-01-01 04:45:00.000 UTC,23438987225963,7004637996911548709083
2025-01-01 04:46:00.000 UTC,23438212051344,7004870359180119343978
2025-01-01 04:47:00.000 UTC,23436983588578,7005238628233963573244
2025-01-01 04:51:00.000 UTC,23436693709194,7005325534034371128154
2025-01-01 04:53:00.000 UTC,23436733769194,7005313595875877676671
2025-01-01 04:55:00.000 UTC,23435707384753,7005621322044870662844
2025-01-01 04:56:00.000 UTC,23436616467181,7005350559640010760901
2025-01-01 04:57:00.000 UTC,23436430837665,7005406212857572863809
2025-01-01 04:59:00.000 UTC,23424133900149,7009094898466477040791
2025-01-01 05:00:00.000 UTC,23424617751107,7008950555303444898884
2025-01-01 05:01:00.000 UTC,23424900198467,7008866297925328178770
2025-01-01 05:04:00.000 UTC,23424918480593,7008860844221561804820
2025-01-01 05:07:00.000 UTC,23424805814367,7008894784782613012596
2025-01-01 05:08:00.000 UTC,23424603677611,7008955448276887100092
2025-01-01 05:09:00.000 UTC,23425595662547,7008659568412158425301
